config_tag,cost_per_u,d_dispo,doctrine,level,nervousness,of_total,otif,q_compliance,recovery_days,rupture_pct,seed,so_rejected,so_total,status,wip_avg,wip_sd
OF+EVENT,135.6,1.0,of_event,faible,0.067,25,0.9508,0.9508,1,0.0,5005,0,9,ok,4.37,5.833809504374765
FLUX+EVENT,135.99,1.0,event,faible,0.067,25,0.9508,0.9508,4,0.0,5005,0,9,ok,3.53,4.150058855696763
OF+EVENT+BCE,135.6,1.0,of_event_bce,faible,0.067,25,0.9508,0.9508,1,0.0,5005,0,9,ok,4.37,5.833809504374765
FLUX+EVENT+BCE,135.99,1.0,event_bce,faible,0.067,25,0.9508,0.9508,4,0.0,5005,0,9,ok,3.53,4.150058855696763
OF,112.06,1.0,of,faible,0.133,20,0.9506,0.9506,0,0.0,5006,0,8,ok,3.17,5.146698528875228
OF+EVENT,112.06,1.0,of_event,faible,0.033,20,0.9506,0.9506,0,0.0,5006,0,8,ok,3.17,5.146698528875228
FLUX+EVENT,75.0,1.0,event,faible,0.033,14,0.9506,0.9506,0,0.0,5006,0,8,ok,2.17,3.751627999106276
OF+EVENT+BCE,112.06,1.0,of_event_bce,faible,0.033,20,0.9506,0.9506,0,0.0,5006,0,8,ok,3.17,5.146698528875228
FLUX+EVENT+BCE,75.0,1.0,event_bce,faible,0.033,14,0.9506,0.9506,0,0.0,5006,0,8,ok,2.17,3.751627999106276
OF,87.04,1.0,of,faible,0.133,18,0.9491,0.9491,7,0.0,5007,0,8,ok,2.6,4.173809968742278
OF+EVENT,81.43,1.0,of_event,faible,0.033,18,0.9491,0.9491,7,0.0,5007,0,8,ok,2.5,4.199753687358672
FLUX+EVENT,68.19,1.0,event,faible,0.033,14,0.933,0.933,4,0.0,5007,0,8,ok,2.0,3.513520682478886
OF+EVENT+BCE,81.43,1.0,of_event_bce,faible,0.033,18,0.9491,0.9491,7,0.0,5007,0,8,ok,2.5,4.199753687358672
FLUX+EVENT+BCE,68.19,1.0,event_bce,faible,0.033,14,0.933,0.933,4,0.0,5007,0,8,ok,2.0,3.513520682478886
OF,92.1,1.0,of,faible,0.133,19,0.9489,0.9489,12,0.0,5008,0,8,ok,3.17,4.778423728943817
OF+EVENT,92.1,1.0,of_event,faible,0.033,19,0.9489,0.9489,12,0.0,5008,0,8,ok,3.17,4.778423728943817
FLUX+EVENT,65.17,1.0,event,faible,0.033,14,0.9489,0.9489,10,0.0,5008,0,8,ok,1.93,3.473379883642438
OF+EVENT+BCE,92.1,1.0,of_event_bce,faible,0.033,19,0.9489,0.9489,12,0.0,5008,0,8,ok,3.17,4.778423728943817
FLUX+EVENT+BCE,65.17,1.0,event_bce,faible,0.033,14,0.9489,0.9489,10,0.0,5008,0,8,ok,1.93,3.473379883642438
OF,114.37,1.0,of,faible,0.133,19,0.9506,0.9506,11,0.0,5009,0,9,ok,3.53,4.584331134857406
OF+EVENT,108.9,1.0,of_event,faible,0.067,19,0.9506,0.9506,11,0.0,5009,0,9,ok,3.43,4.643745020572507
FLUX+EVENT,108.72,1.0,event,faible,0.067,19,0.9506,0.9506,11,0.0,5009,0,9,ok,3.37,4.197563606413255
OF+EVENT+BCE,108.9,1.0,of_event_bce,faible,0.067,19,0.9506,0.9506,11,0.0,5009,0,9,ok,3.43,4.643745020572507
FLUX+EVENT+BCE,108.72,1.0,event_bce,faible,0.067,19,0.9506,0.9506,11,0.0,5009,0,9,ok,3.37,4.197563606413255
OF,134.46,1.0,of,moyen,0.133,30,0.9497,0.9497,14,0.0,5000,0,12,ok,4.89,7.857313391826352
OF+EVENT,125.88,1.0,of_event,moyen,0.022,30,0.9497,0.9497,12,0.0,5000,0,12,ok,4.71,7.855577700595992
FLUX+EVENT,90.57,1.0,event,moyen,0.022,24,0.9497,0.9497,14,0.0,5000,0,12,ok,3.62,5.985926255084766
OF+EVENT+BCE,125.88,1.0,of_event_bce,moyen,0.022,30,0.9497,0.9497,12,0.0,5000,0,12,ok,4.71,7.855577700595992
FLUX+EVENT+BCE,90.57,1.0,event_bce,moyen,0.022,24,0.9497,0.9497,14,0.0,5000,0,12,ok,3.62,5.985926255084766
OF,96.61,1.0,of,moyen,0.133,34,0.9499,0.9499,16,0.0,5001,0,14,ok,4.47,7.040790244903428
OF+EVENT,93.19,1.0,of_event,moyen,0.044,34,0.9499,0.9499,16,0.0,5001,0,14,ok,4.36,7.055479996413991
FLUX+EVENT,90.17,1.0,event,moyen,0.044,34,0.9499,0.9499,18,0.0,5001,0,14,ok,4.22,5.269504413858742
OF+EVENT+BCE,93.19,1.0,of_event_bce,moyen,0.044,34,0.9499,0.9499,16,0.0,5001,0,14,ok,4.36,7.055479996413991
FLUX+EVENT+BCE,90.17,1.0,event_bce,moyen,0.044,34,0.9499,0.9499,18,0.0,5001,0,14,ok,4.22,5.269504413858742
OF,148.05,1.0,of,moyen,0.133,38,0.9504,0.9504,19,0.0,5002,0,13,ok,6.91,10.026832687213531
OF+EVENT,139.76,1.0,of_event,moyen,0.044,38,0.9504,0.9504,18,0.0,5002,0,13,ok,6.64,10.029854425562705
FLUX+EVENT,140.69,1.0,event,moyen,0.044,38,0.9504,0.9504,19,0.0,5002,0,13,ok,6.53,9.046847768447005
OF+EVENT+BCE,139.76,1.0,of_event_bce,moyen,0.044,38,0.9504,0.9504,18,0.0,5002,0,13,ok,6.64,10.029854425562705
FLUX+EVENT+BCE,140.69,1.0,event_bce,moyen,0.044,38,0.9504,0.9504,19,0.0,5002,0,13,ok,6.53,9.046847768447005
OF,111.65,1.0,of,moyen,0.133,35,0.9359,0.9359,16,0.0,5003,0,16,ok,4.73,7.240667975212834
OF+EVENT,104.89,1.0,of_event,moyen,0.044,35,0.9359,0.9359,15,0.0,5003,0,16,ok,4.49,7.178320334749825
FLUX+EVENT,105.04,1.0,event,moyen,0.044,35,0.9359,0.9359,14,0.0,5003,0,16,ok,4.31,6.670226322391107
OF+EVENT+BCE,104.89,1.0,of_event_bce,moyen,0.044,35,0.9359,0.9359,15,0.0,5003,0,16,ok,4.49,7.178320334749825
FLUX+EVENT+BCE,105.04,1.0,event_bce,moyen,0.044,35,0.9359,0.9359,14,0.0,5003,0,16,ok,4.31,6.670226322391107
OF,126.99,1.0,of,moyen,0.133,35,0.9377,0.9377,16,0.0,5004,0,13,ok,5.84,8.834219509579459
OF+EVENT,126.04,1.0,of_event,moyen,0.044,35,0.9439,0.9439,16,0.0,5004,0,13,ok,5.84,8.834219509579459
FLUX+EVENT,124.94,1.0,event,moyen,0.044,35,0.9502,0.9502,13,0.0,5004,0,13,ok,5.0,6.941312425025846
OF+EVENT+BCE,126.04,1.0,of_event_bce,moyen,0.044,35,0.9439,0.9439,16,0.0,5004,0,13,ok,5.84,8.834219509579459
FLUX+EVENT+BCE,124.9,1.0,event_bce,moyen,0.044,35,0.9502,0.9502,13,0.0,5004,0,13,ok,5.0,6.941312425025846
OF,136.26,1.0,of,moyen,0.133,39,0.9498,0.9498,14,0.0,5005,0,15,ok,5.91,8.420273754517135
OF+EVENT,136.26,1.0,of_event,moyen,0.044,39,0.9498,0.9498,14,0.0,5005,0,15,ok,5.91,8.420273754517135
FLUX+EVENT,136.25,1.0,event,moyen,0.044,39,0.9498,0.9498,15,0.0,5005,0,15,ok,5.73,6.329584217279707
OF+EVENT+BCE,136.26,1.0,of_event_bce,moyen,0.044,39,0.9498,0.9498,14,0.0,5005,0,15,ok,5.91,8.420273754517135
FLUX+EVENT+BCE,136.25,1.0,event_bce,moyen,0.044,39,0.9498,0.9498,15,0.0,5005,0,15,ok,5.73,6.329584217279707
OF,115.05,1.0,of,moyen,0.133,35,0.9507,0.9507,15,0.0,5006,0,12,ok,6.38,10.247591488400156
OF+EVENT,115.05,1.0,of_event,moyen,0.022,35,0.9507,0.9507,15,0.0,5006,0,12,ok,6.38,10.247591488400156
FLUX+EVENT,75.1,1.0,event,moyen,0.022,25,0.9507,0.9507,14,0.0,5006,0,12,ok,3.84,6.772120507021133
OF+EVENT+BCE,115.05,1.0,of_event_bce,moyen,0.022,35,0.9507,0.9507,15,0.0,5006,0,12,ok,6.38,10.247591488400156
FLUX+EVENT+BCE,75.1,1.0,event_bce,moyen,0.022,25,0.9507,0.9507,14,0.0,5006,0,12,ok,3.84,6.772120507021133
OF,113.07,1.0,of,moyen,0.133,32,0.9395,0.9395,17,0.0,5007,0,13,ok,5.89,8.642448680317354
OF+EVENT,113.07,1.0,of_event,moyen,0.044,32,0.9395,0.9395,17,0.0,5007,0,13,ok,5.89,8.642448680317354
FLUX+EVENT,113.53,1.0,event,moyen,0.044,32,0.9505,0.9505,20,0.0,5007,0,13,ok,6.62,8.536789072992706
OF+EVENT+BCE,113.07,1.0,of_event_bce,moyen,0.044,32,0.9395,0.9395,17,0.0,5007,0,13,ok,5.89,8.642448680317354
FLUX+EVENT+BCE,113.53,1.0,event_bce,moyen,0.044,32,0.9505,0.9505,20,0.0,5007,0,13,ok,6.62,8.536789072992706
OF,129.9,1.0,of,moyen,0.133,33,0.9506,0.9506,14,0.0,5008,0,13,ok,4.89,7.877534865397649
OF+EVENT,129.9,1.0,of_event,moyen,0.044,33,0.9506,0.9506,14,0.0,5008,0,13,ok,4.89,7.877534865397649
FLUX+EVENT,130.25,1.0,event,moyen,0.044,33,0.9506,0.9506,14,0.0,5008,0,13,ok,4.6,7.180782433943836
OF+EVENT+BCE,129.9,1.0,of_event_bce,moyen,0.044,33,0.9506,0.9506,14,0.0,5008,0,13,ok,4.89,7.877534865397649
FLUX+EVENT+BCE,130.25,1.0,event_bce,moyen,0.044,33,0.9506,0.9506,14,0.0,5008,0,13,ok,4.6,7.180782433943836
OF,121.21,1.0,of,moyen,0.133,34,0.9508,0.9508,2,0.0,5009,0,13,ok,5.07,8.063385257953499
OF+EVENT,119.77,1.0,of_event,moyen,0.044,34,0.9508,0.9508,2,0.0,5009,0,13,ok,5.04,8.07621523519851
FLUX+EVENT,118.56,1.0,event,moyen,0.044,34,0.9508,0.9508,6,0.0,5009,0,13,ok,4.16,6.086331764160934
OF+EVENT+BCE,119.77,1.0,of_event_bce,moyen,0.044,34,0.9508,0.9508,2,0.0,5009,0,13,ok,5.04,8.07621523519851
FLUX+EVENT+BCE,118.56,1.0,event_bce,moyen,0.044,34,0.9508,0.9508,6,0.0,5009,0,13,ok,4.16,6.086331764160934
OF,116.88,1.0,of,fort,0.15,41,0.9505,0.9505,16,0.0,5000,0,17,ok,4.97,9.407834215842048
OF+EVENT,116.88,1.0,of_event,fort,0.033,41,0.9505,0.9505,16,0.0,5000,0,17,ok,4.97,9.407834215842048
FLUX+EVENT,117.29,1.0,event,fort,0.033,41,0.9505,0.9505,20,0.0,5000,0,17,ok,4.35,7.198928828040074
OF+EVENT+BCE,116.88,1.0,of_event_bce,fort,0.033,41,0.9505,0.9505,16,0.0,5000,0,17,ok,4.97,9.407834215842048
FLUX+EVENT+BCE,117.29,1.0,event_bce,fort,0.033,41,0.9505,0.9505,20,0.0,5000,0,17,ok,4.35,7.198928828040074
OF,88.46,1.0,of,fort,0.15,38,0.9496,0.9496,16,0.0,5001,0,17,ok,4.9,8.786931745013467
OF+EVENT,88.46,1.0,of_event,fort,0.033,38,0.9496,0.9496,16,0.0,5001,0,17,ok,4.9,8.786931745013467
FLUX+EVENT,89.12,1.0,event,fort,0.033,38,0.9496,0.9496,10,0.0,5001,0,17,ok,3.48,6.1216250934952505
OF+EVENT+BCE,88.46,1.0,of_event_bce,fort,0.033,38,0.9496,0.9496,16,0.0,5001,0,17,ok,4.9,8.786931745013467
FLUX+EVENT+BCE,89.07,1.0,event_bce,fort,0.033,38,0.9496,0.9496,10,0.0,5001,0,17,ok,3.48,6.1216250934952505
OF,126.48,1.0,of,fort,0.15,38,0.9146,0.9146,17,0.0,5002,0,17,ok,4.75,8.290539840532558
OF+EVENT,113.96,1.0,of_event,fort,0.033,38,0.922,0.922,15,0.0,5002,0,17,ok,4.78,8.356650993024003
FLUX+EVENT,115.43,1.0,event,fort,0.033,38,0.9146,0.9146,12,0.0,5002,0,17,ok,4.15,6.751835908520972
OF+EVENT+BCE,113.96,1.0,of_event_bce,fort,0.033,38,0.922,0.922,15,0.0,5002,0,17,ok,4.78,8.356650993024003
FLUX+EVENT+BCE,115.43,1.0,event_bce,fort,0.033,38,0.9146,0.9146,12,0.0,5002,0,17,ok,4.15,6.751835908520972
OF,116.08,1.0,of,fort,0.15,40,0.9504,0.9504,18,0.0,5003,0,16,ok,5.6,10.358325890520982
OF+EVENT,111.19,1.0,of_event,fort,0.033,40,0.9504,0.9504,18,0.0,5003,0,16,ok,5.52,10.227068878867852
FLUX+EVENT,109.43,1.0,event,fort,0.033,40,0.9504,0.9504,14,0.0,5003,0,16,ok,4.18,6.171261076703542
OF+EVENT+BCE,111.19,1.0,of_event_bce,fort,0.033,40,0.9504,0.9504,18,0.0,5003,0,16,ok,5.52,10.227068878867852
FLUX+EVENT+BCE,109.43,1.0,event_bce,fort,0.033,40,0.9504,0.9504,14,0.0,5003,0,16,ok,4.18,6.171261076703542
OF,132.29,1.0,of,fort,0.15,53,0.9374,0.9374,17,0.0,5004,0,19,ok,6.65,10.978908901979564
OF+EVENT,130.61,1.0,of_event,fort,0.033,53,0.951,0.951,17,0.0,5004,0,19,ok,6.6,11.001078529560605
FLUX+EVENT,132.12,1.0,event,fort,0.033,53,0.9374,0.9374,16,0.0,5004,0,19,ok,6.35,9.273298647008527
OF+EVENT+BCE,130.61,1.0,of_event_bce,fort,0.033,53,0.951,0.951,17,0.0,5004,0,19,ok,6.6,11.001078529560605
FLUX+EVENT+BCE,130.44,1.0,event_bce,fort,0.033,53,0.951,0.951,16,0.0,5004,0,19,ok,6.3,9.297894786328092
OF,116.57,1.0,of,fort,0.15,41,0.95,0.95,18,0.0,5005,0,16,ok,6.05,10.160450076778679
OF+EVENT,116.57,1.0,of_event,fort,0.033,41,0.95,0.95,18,0.0,5005,0,16,ok,6.05,10.160450076778679
FLUX+EVENT,118.51,1.0,event,fort,0.033,41,0.9413,0.9413,21,0.0,5005,0,16,ok,4.7,7.651963301851451
OF+EVENT+BCE,116.57,1.0,of_event_bce,fort,0.033,41,0.95,0.95,18,0.0,5005,0,16,ok,6.05,10.160450076778679
FLUX+EVENT+BCE,118.51,1.0,event_bce,fort,0.033,41,0.9413,0.9413,21,0.0,5005,0,16,ok,4.7,7.651963301851451
OF,116.94,1.0,of,fort,0.15,45,0.95,0.95,20,0.0,5006,0,18,ok,5.07,8.773740996487549
OF+EVENT,116.94,1.0,of_event,fort,0.033,45,0.95,0.95,20,0.0,5006,0,18,ok,5.07,8.773740996487549
FLUX+EVENT,118.86,1.0,event,fort,0.033,45,0.95,0.95,14,0.0,5006,0,18,ok,4.07,5.751541183778532
OF+EVENT+BCE,114.71,1.0,of_event_bce,fort,0.033,45,0.95,0.95,20,0.0,5006,0,18,ok,5.07,8.773740996487549
FLUX+EVENT+BCE,114.95,1.0,event_bce,fort,0.033,45,0.95,0.95,14,0.0,5006,0,18,ok,4.07,5.751541183778532
OF,100.86,1.0,of,fort,0.15,38,0.9443,0.9443,18,0.0,5007,0,16,ok,4.83,9.324955885144284
OF+EVENT,97.75,1.0,of_event,fort,0.033,38,0.947,0.947,18,0.0,5007,0,16,ok,4.83,9.324955885144284
FLUX+EVENT,98.33,1.0,event,fort,0.033,38,0.947,0.947,20,0.0,5007,0,16,ok,4.88,8.831936783324073
OF+EVENT+BCE,97.75,1.0,of_event_bce,fort,0.033,38,0.947,0.947,18,0.0,5007,0,16,ok,4.83,9.324955885144284
FLUX+EVENT+BCE,98.33,1.0,event_bce,fort,0.033,38,0.947,0.947,20,0.0,5007,0,16,ok,4.88,8.831936783324073
OF,115.44,1.0,of,fort,0.15,39,0.9497,0.9497,15,0.0,5008,0,15,ok,5.13,9.857401360496635
OF+EVENT,110.53,1.0,of_event,fort,0.017,39,0.9497,0.9497,15,0.0,5008,0,15,ok,5.12,9.839546059990099
FLUX+EVENT,84.11,1.0,event,fort,0.017,30,0.9497,0.9497,11,0.0,5008,0,15,ok,3.32,7.179282025069097
OF+EVENT+BCE,110.53,1.0,of_event_bce,fort,0.017,39,0.9497,0.9497,15,0.0,5008,0,15,ok,5.12,9.839546059990099
FLUX+EVENT+BCE,84.11,1.0,event_bce,fort,0.017,30,0.9497,0.9497,11,0.0,5008,0,15,ok,3.32,7.179282025069097
OF,119.06,1.0,of,fort,0.15,38,0.9439,0.9439,15,0.0,5009,0,16,ok,6.4,10.14839053783774
OF+EVENT,119.06,1.0,of_event,fort,0.033,38,0.9439,0.9439,15,0.0,5009,0,16,ok,6.4,10.14839053783774
FLUX+EVENT,119.54,1.0,event,fort,0.033,38,0.9439,0.9439,8,0.0,5009,0,16,ok,4.32,6.723325616436614
OF+EVENT+BCE,119.06,1.0,of_event_bce,fort,0.033,38,0.9439,0.9439,15,0.0,5009,0,16,ok,6.4,10.14839053783774
FLUX+EVENT+BCE,119.54,1.0,event_bce,fort,0.033,38,0.9439,0.9439,8,0.0,5009,0,16,ok,4.32,6.723325616436614
OF,116.83,1.0,of,extrême,0.175,65,0.9501,0.9501,20,0.0,5000,0,26,ok,6.95,14.982258415435597
OF+EVENT,113.25,1.0,of_event,extrême,0.017,65,0.9501,0.9501,20,0.0,5000,0,26,ok,6.95,14.982258415435597
FLUX+EVENT,115.26,1.0,event,extrême,0.017,65,0.9441,0.9441,20,0.0,5000,0,26,ok,5.15,10.70588466155668
OF+EVENT+BCE,113.25,1.0,of_event_bce,extrême,0.017,65,0.9501,0.9501,20,0.0,5000,0,26,ok,6.95,14.982258415435597
FLUX+EVENT+BCE,115.26,1.0,event_bce,extrême,0.017,65,0.9441,0.9441,20,0.0,5000,0,26,ok,5.15,10.70588466155668
OF,97.72,0.9643,of,extrême,0.175,66,0.9162778600000001,0.9502,20,0.03571428571428571,5001,1,28,ok,7.01,14.67776906624112
OF+EVENT,93.33,0.9643,of_event,extrême,0.017,66,0.9162778600000001,0.9502,20,0.03571428571428571,5001,1,28,ok,6.99,14.633618387632156
FLUX+EVENT,93.27,1.0,event,extrême,0.017,66,0.9443,0.9443,20,0.0,5001,0,28,ok,6.54,11.956430591652225
OF+EVENT+BCE,93.33,0.9643,of_event_bce,extrême,0.017,66,0.9162778600000001,0.9502,20,0.03571428571428571,5001,1,28,ok,6.99,14.633618387632156
FLUX+EVENT+BCE,93.27,1.0,event_bce,extrême,0.017,66,0.9443,0.9443,20,0.0,5001,0,28,ok,6.54,11.956430591652225
OF,119.2,0.9667,of,extrême,0.175,76,0.918365,0.95,20,0.03333333333333333,5002,1,30,ok,7.92,16.118345151415763
OF+EVENT,116.38,0.9667,of_event,extrême,0.017,76,0.918365,0.95,20,0.03333333333333333,5002,1,30,ok,7.92,16.122213567253205
FLUX+EVENT,118.41,0.9667,event,extrême,0.017,76,0.9115981,0.943,20,0.03333333333333333,5002,1,30,ok,8.51,15.86232566019687
OF+EVENT+BCE,116.38,0.9667,of_event_bce,extrême,0.017,76,0.918365,0.95,20,0.03333333333333333,5002,1,30,ok,7.92,16.122213567253205
FLUX+EVENT+BCE,118.41,0.9667,event_bce,extrême,0.017,76,0.9115981,0.943,20,0.03333333333333333,5002,1,30,ok,8.51,15.86232566019687
OF,121.74,1.0,of,extrême,0.175,74,0.9469,0.9469,20,0.0,5003,0,29,ok,7.08,14.678723240336216
OF+EVENT,118.91,1.0,of_event,extrême,0.017,74,0.9469,0.9469,20,0.0,5003,0,29,ok,7.08,14.68583227017751
FLUX+EVENT,118.58,1.0,event,extrême,0.017,74,0.9508,0.9508,20,0.0,5003,0,29,ok,5.92,9.973564497987578
OF+EVENT+BCE,118.91,1.0,of_event_bce,extrême,0.017,74,0.9469,0.9469,20,0.0,5003,0,29,ok,7.08,14.68583227017751
FLUX+EVENT+BCE,118.58,1.0,event_bce,extrême,0.017,74,0.9508,0.9508,20,0.0,5003,0,29,ok,5.92,9.973564497987578
OF,132.81,1.0,of,extrême,0.175,68,0.9509,0.9509,20,0.0,5004,0,28,ok,6.99,14.89317470054872
OF+EVENT,120.48,1.0,of_event,extrême,0.017,68,0.9509,0.9509,20,0.0,5004,0,28,ok,6.86,14.899831273836476
FLUX+EVENT,122.03,1.0,event,extrême,0.017,68,0.9509,0.9509,20,0.0,5004,0,28,ok,6.07,12.008213808870652
OF+EVENT+BCE,120.48,1.0,of_event_bce,extrême,0.017,68,0.9509,0.9509,20,0.0,5004,0,28,ok,6.86,14.899831273836476
FLUX+EVENT+BCE,122.03,1.0,event_bce,extrême,0.017,68,0.9509,0.9509,20,0.0,5004,0,28,ok,6.07,12.008213808870652
OF,112.45,1.0,of,extrême,0.175,65,0.9384,0.9384,20,0.0,5005,0,25,ok,7.15,15.389972725908311
OF+EVENT,111.9,1.0,of_event,extrême,0.008,65,0.9422,0.9422,20,0.0,5005,0,25,ok,7.15,15.389972725908311
FLUX+EVENT,79.69,1.0,event,extrême,0.008,49,0.946,0.946,20,0.0,5005,0,25,ok,4.58,10.928786545181493
OF+EVENT+BCE,111.9,1.0,of_event_bce,extrême,0.008,65,0.9422,0.9422,20,0.0,5005,0,25,ok,7.15,15.389972725908311
FLUX+EVENT+BCE,79.69,1.0,event_bce,extrême,0.008,49,0.946,0.946,20,0.0,5005,0,25,ok,4.58,10.928786545181493
OF,117.09,1.0,of,extrême,0.175,69,0.943,0.943,20,0.0,5006,0,27,ok,6.97,14.987648976698763
OF+EVENT,113.67,1.0,of_event,extrême,0.017,69,0.943,0.943,20,0.0,5006,0,27,ok,6.97,14.987648976698763
FLUX+EVENT,112.46,1.0,event,extrême,0.017,69,0.9499,0.9499,17,0.0,5006,0,27,ok,4.93,9.581787111896354
OF+EVENT+BCE,113.67,1.0,of_event_bce,extrême,0.017,69,0.943,0.943,20,0.0,5006,0,27,ok,6.97,14.987648976698763
FLUX+EVENT+BCE,111.44,1.0,event_bce,extrême,0.017,69,0.9499,0.9499,17,0.0,5006,0,27,ok,4.93,9.581787111896354
OF,120.66,1.0,of,extrême,0.175,80,0.9406,0.9406,20,0.0,5007,0,31,ok,7.12,14.93265695371989
OF+EVENT,117.77,1.0,of_event,extrême,0.017,80,0.945,0.945,20,0.0,5007,0,31,ok,7.1,14.942691645531784
FLUX+EVENT,119.57,1.0,event,extrême,0.017,80,0.9424,0.9424,20,0.0,5007,0,31,ok,5.88,10.875292584363798
OF+EVENT+BCE,116.65,1.0,of_event_bce,extrême,0.017,80,0.945,0.945,20,0.0,5007,0,31,ok,7.08,14.94954164910106
FLUX+EVENT+BCE,117.58,1.0,event_bce,extrême,0.017,80,0.9424,0.9424,20,0.0,5007,0,31,ok,5.87,10.882823822048058
OF,124.79,1.0,of,extrême,0.175,80,0.9457,0.9457,20,0.0,5008,0,32,ok,7.49,13.992192200546375
OF+EVENT,119.37,1.0,of_event,extrême,0.017,80,0.95,0.95,20,0.0,5008,0,32,ok,7.39,14.012776782824528
FLUX+EVENT,119.21,1.0,event,extrême,0.017,80,0.95,0.95,20,0.0,5008,0,32,ok,6.37,10.834068063858789
OF+EVENT+BCE,119.37,1.0,of_event_bce,extrême,0.017,80,0.95,0.95,20,0.0,5008,0,32,ok,7.39,14.012776782824528
FLUX+EVENT+BCE,118.71,1.0,event_bce,extrême,0.017,80,0.95,0.95,20,0.0,5008,0,32,ok,6.35,10.842377177406386
OF,117.61,1.0,of,extrême,0.175,70,0.9376,0.9376,20,0.0,5009,0,27,ok,7.83,15.77715745877538
OF+EVENT,112.16,1.0,of_event,extrême,0.017,70,0.9474,0.9474,20,0.0,5009,0,27,ok,7.74,15.746679432987328
FLUX+EVENT,114.4,1.0,event,extrême,0.017,70,0.9474,0.9474,20,0.0,5009,0,27,ok,7.56,13.983060480172316
OF+EVENT+BCE,112.16,1.0,of_event_bce,extrême,0.017,70,0.9474,0.9474,20,0.0,5009,0,27,ok,7.74,15.746679432987328
FLUX+EVENT+BCE,114.4,1.0,event_bce,extrême,0.017,70,0.9474,0.9474,20,0.0,5009,0,27,ok,7.56,13.983060480172316
